ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
32.586633415,-85.494109908,198.5,0,0,0,170,0,0
command type,yaw (deg),pitch (deg),roll (deg),vx_body (m/s),vy_body (m/s),vz_body (m/s),command duration (s),GPS visibility
1,0,0,0,0,0,0,1,1
1,0,0,0,1,0,0,2,1
1,-14.324,-0.2865,0,0.25,0,0,5,1
2,90.012,-0.2865,0,5,0,0,3,1
2,90.012,-2.865,0,0,0,0,2.5,1
1,0,0,0,0,0,0,3,1
1,6.589,0,0,1,0,0,8,1
2,154.985,0,0,0,0,0,4,1
1,0,0,0,0,0,0,8,1
1,-12.032,-0.0688,0,1,0,0,8,1
1,5.730,0.0573,0,1,0,0,5,1
2,88.808,0.5730,0,16.5,0,0,10.5,1
1,0,0,0,0,0,0,1,1
2,94.538,0,0,0,0,0,9,1
1,14.324,0,0,1,0,0,1,1
1,8.594,0,0,1,0,0,1,1
1,5.730,0,0,1,0,0,2,1
1,8.594,1.719,0,1,0,0,1,1
1,14.324,0,0,1,0,0,1,1
2,157.563,2.292,0,15,0,0,5,1
2,143.239,1.146,0,16,0,0,3,1
2,154.699,1.146,0,4,0,0,7.5,1
1,17.189,0,0,-0.25,0,0,1,1
1,11.459,0,0,-0.25,0,0,1.5,1
1,5.730,0,0,-0.25,0,0,2,1
1,8.594,0,0,-0.25,0,0,1.5,1
1,2.865,-1.146,0,-0.25,0,0,2,1
2,235.772,-1.719,0,20,0,0,15,1
1,0,0,0,-0.5,0,0,7,1
1,4.011,0,0,-1,0,0,2,1
1,-2.865,0,0,-2,0,0,3,1
1,0,0.2865,0,-1.25,0,0,2,1
1,22.918,0.2865,0,0,0,0,1.5,1
1,17.189,0.1719,0,0.25,0,0,2,1
1,14.324,0.1719,0,0.5,0,0,1,1
1,8.594,0.1146,0,1,0,0,1.5,1
1,2.865,0.0573,0,1,0,0,2,1
2,349.504,3.4377,0,13,0,0,7,1
1,4.297,0.0573,0,-1,0,0,2,1
1,2.865,2.865,0,-1.5,0,0,2,1
2,358.672,4.584,0,0,0,0,6,1
1,0,-0.4584,0,0,0,0,3,1
1,0,-0.4011,0,1.5,0,0,10,1
1,0,-0.3438,0,0,0,0,5,1
1,8.594,-0.4584,0,-1,0,0,2,1
1,2.865,-0.5730,0,-1,0,0,3,1
2,409.665,-0.5730,0,5,0,0,6,1
1,-28.648,0.4870,0,0.5,0,0,2,1
1,-22.918,0.2865,0,0.25,0,0,1,1
1,-11.459,0.2865,0,0.25,0,0,1,1
1,-4.011,0.0573,0,0.25,0,0,4,1
1,-8.021,0.0573,0,-0.75,0,0,5,1
1,0.573,0.0573,0,0,0,0,2,1
1,31.513,0.0057,0,-0.5,0,0,3,1
2,359.989,0,0,0,0,0,3,1
1,0,0,0,0,0,0,1,1
